score,KC_factor,projections,hash_dims,flattening
-0.04679,10.0,14.0,640.0,log2
-0.04695,1.0,16.0,48.0,log2
-0.04745,10.0,16.0,160.0,log10
-0.04785,6.0,18.0,192.0,log
-0.04785,6.0,20.0,192.0,log10
-0.04887,4.0,10.0,128.0,log10
-0.04929,2.0,6.0,160.0,log10
-0.04941,10.0,8.0,800.0,log10
-0.0513,10.0,18.0,160.0,log
-0.0513,8.0,14.0,512.0,log2
-0.05234,2.0,10.0,96.0,log10
-0.05316,6.0,14.0,384.0,log2
-0.05356,10.0,16.0,640.0,log2
-0.05505,10.0,20.0,640.0,log10
-0.05608,4.0,6.0,128.0,log2
-0.0566,8.0,20.0,512.0,log2
-0.05734,10.0,16.0,480.0,log2
-0.05736,6.0,16.0,480.0,log10
-0.05826,2.0,20.0,32.0,log10
-0.05845,6.0,18.0,96.0,log
-0.05881,6.0,12.0,288.0,log10
-0.05923,8.0,20.0,384.0,log2
-0.05958,10.0,10.0,160.0,log2
-0.05988,6.0,16.0,96.0,log
-0.06043,1.0,8.0,32.0,log10
-0.06113,10.0,18.0,800.0,log10
-0.06143,2.0,18.0,128.0,log2
-0.06179,6.0,14.0,384.0,log10
-0.06185,2.0,16.0,128.0,log10
-0.06206,6.0,10.0,96.0,log
-0.06225,8.0,12.0,256.0,log2
-0.06287,2.0,18.0,128.0,log
-0.06325,4.0,6.0,64.0,log
-0.06338,6.0,16.0,384.0,log2
-0.06527,8.0,10.0,640.0,log
-0.06527,4.0,16.0,192.0,log10
-0.06529,2.0,8.0,32.0,log10
-0.06633,6.0,8.0,192.0,log10
-0.0664,8.0,8.0,256.0,log
-0.06669,4.0,12.0,256.0,log2
-0.06733,1.0,18.0,48.0,log10
-0.06735,2.0,8.0,96.0,log2
-0.06839,1.0,6.0,32.0,log10
-0.0694,4.0,20.0,192.0,log10
-0.06973,2.0,14.0,128.0,log10
-0.07077,1.0,6.0,80.0,log10
-0.07153,8.0,16.0,128.0,log
-0.07276,8.0,12.0,128.0,log
-0.07276,4.0,16.0,256.0,log10
-0.07305,4.0,16.0,64.0,log2
-0.07357,8.0,10.0,256.0,log2
-0.07404,4.0,16.0,64.0,log10
-0.07427,8.0,14.0,128.0,log
-0.07458,1.0,14.0,48.0,log2
-0.07458,2.0,16.0,128.0,log2
-0.0749,1.0,8.0,64.0,log
-0.075,2.0,20.0,96.0,log
-0.075,4.0,14.0,64.0,log
-0.07582,8.0,16.0,512.0,log
-0.07839,10.0,14.0,160.0,log
-0.0791,1.0,6.0,32.0,log2
-0.07925,4.0,14.0,256.0,log2
-0.07951,2.0,20.0,96.0,log2
-0.07993,4.0,12.0,64.0,log2
-0.07995,8.0,6.0,128.0,log
-0.0803,8.0,8.0,128.0,log
-0.0807,10.0,20.0,160.0,log
-0.08188,10.0,20.0,800.0,log
-0.08223,8.0,16.0,640.0,log10
-0.08273,1.0,18.0,32.0,log2
-0.08301,6.0,18.0,288.0,log2
-0.08407,4.0,6.0,64.0,log2
-0.08525,2.0,20.0,160.0,log10
-0.08587,1.0,12.0,48.0,log10
-0.08604,10.0,20.0,800.0,log2
-0.08753,6.0,18.0,384.0,log
-0.08866,6.0,6.0,288.0,log2
-0.09045,1.0,16.0,64.0,log
-0.09159,1.0,8.0,48.0,log2
-0.09168,8.0,8.0,128.0,log2
-0.09169,4.0,14.0,320.0,log2
-0.09394,4.0,18.0,320.0,log
-0.09469,2.0,20.0,160.0,log
-0.0947,4.0,8.0,256.0,log
-0.09506,2.0,10.0,128.0,log10
-0.09536,1.0,16.0,32.0,log2
-0.09658,6.0,20.0,96.0,log10
-0.1002,1.0,14.0,16.0,log
-0.10031,1.0,14.0,80.0,log2
-0.10037,2.0,12.0,160.0,log10
-0.1041,1.0,14.0,64.0,log2
-0.10564,2.0,8.0,32.0,log
-0.10717,8.0,12.0,640.0,log
-0.10867,1.0,18.0,64.0,log2
-0.10868,10.0,18.0,640.0,log
-0.10868,10.0,14.0,160.0,log10
